承知しました。現代の日本人にもよく知られている偉人や有名人を対象に、生没年・享年・職業・死因などを含む寿命データベースを構築します。

まずは代表的な人物を幅広いジャンルから収集し、年齢順に並べられる形式で整理します。準備が整い次第ご報告します。


# 偉人・著名人の寿命データベース

| 氏名（ふりがな）                        | 生年-没年       | 享年  | 職業／分野           | 死因                | 備考                                                     |
| ------------------------------- | ----------- | --- | --------------- | ----------------- | ------------------------------------------------------ |
| 織田 信長（おだ のぶなが）                  | 1534年-1582年 | 47歳 | 戦国大名            | 暗殺（家臣による本能寺の変）    | 戦国時代の武将。「天下布武」を掲げ、天下統一に迫るも明智光秀の謀反で討たれた。                |
| 吉田 松陰（よしだ しょういん）                | 1830年-1859年 | 29歳 | 思想家・教育者（長州藩士）   | 処刑（斬首刑）           | 松下村塾で多くの維新志士を育成。安政の大獄により刑死。                            |
| 坂本 龍馬（さかもと りょうま）                | 1836年-1867年 | 31歳 | 幕末の志士           | 暗殺（近江屋事件）         | 明治維新の立役者の一人。薩長同盟を斡旋するなど活躍したが、京都で凶刃に倒れた。                |
| 西郷 隆盛（さいごう たかもり）                | 1828年-1877年 | 49歳 | 武士・政治家          | 自刃（西南戦争）          | 維新三傑の一人。新政府で要職を務めたが、西南戦争で敗れて自決した。                      |
| 伊藤 博文（いとう ひろぶみ）                 | 1841年-1909年 | 68歳 | 政治家（初代内閣総理大臣）   | 暗殺（銃撃）            | 初代総理大臣。韓国統監辞任後に哈爾浜駅で安重根に狙撃され死亡。                        |
| 福澤 諭吉（ふくざわ ゆきち）                 | 1835年-1901年 | 66歳 | 思想家・教育者         | 脳溢血（脳卒中）          | 慶應義塾を創設し、日本近代化に貢献。脳卒中で没する。1万円紙幣肖像。                     |
| 野口 英世（のぐち ひでよ）                  | 1876年-1928年 | 51歳 | 細菌学者            | 感染症（黄熱病）          | 黄熱病の研究途上、現地で自ら黄熱に罹患し客死。旧千円札肖像。                         |
| 夏目 漱石（なつめ そうせき）                 | 1867年-1916年 | 49歳 | 小説家             | 胃潰瘍による大量出血        | 「吾輩は猫である」「こころ」などの著者。執筆中の『明暗』を未完のまま亡くなった。               |
| 樋口 一葉（ひぐち いちよう）                 | 1872年-1896年 | 24歳 | 小説家             | 結核（肺結核）           | 明治期の女性作家。「たけくらべ」などを執筆。若くして肺結核で夭折。旧五千円札肖像。              |
| 川端 康成（かわばた やすなり）                | 1899年-1972年 | 72歳 | 小説家             | 自殺（ガス中毒）          | 『雪国』『千羽鶴』などの作家。1968年に日本人初のノーベル文学賞受賞。晩年に自死した。           |
| 太宰 治（だざい おさむ）                   | 1909年-1948年 | 38歳 | 小説家             | 心中（入水自殺）          | 『人間失格』『走れメロス』などの作家。愛人と玉川上水へ入水し心中した。                    |
